firmware_version,cflag,ctype,nch,fs,SATA_bool,nsampPerRawFile,nsampPerSect,nBits (bits per sample),nsectPerRawFile,nBytesPerSect,compressionFactor,tailblk 
1.1,0,-1,1,0,0,0,250,16,0,500,0,0
V2.01,0,-1,1,200000,0,0,250,16,0,500,0,0
V2.02Q,1,0,1,200000,0,0,250,16,0,500,0,0
V2.02R_SSD,1,0,1,200000,0,0,250,16,0,500,0,0
V2.02R,1,1,1,200000,0,15000000,250,16,60000,500,2,0
V2.02R_1,1,1,1,0,0,0,250,16,0,500,0,0
V2.02r_SSD,1,0,1,0,0,0,250,16,0,500,0,0
V2.02r,1,1,1,0,0,0,250,16,0,500,0,0
V2.02r_1,1,1,1,0,0,0,250,16,0,500,0,0
V2.02S_SSD,1,0,1,0,0,0,250,16,0,500,0,0
V2.02S,1,1,1,200000,0,15000000,250,16,60000,500,0,0
V2.02S_1,1,1,1,200000,0,15000000,250,16,60000,500,0,0
V2.02U_SSD,1,0,1,0,0,0,250,16,0,500,0,0
V2.02U,1,1,1,200000,0,15000000,250,16,60000,500,0,0
V2.02U_1,1,1,1,0,0,0,250,16,0,500,0,0
V2.02W,1,1,1,2000,0,15000000,250,16,60000,500,0,0
V2.05,1,1,1,320000,0,14000000,250,16,56000,500,0,0
V2.20,1,1,1,0,0,0,250,16,0,500,0,0
V2.10,0,-1,4,100000,0,14384000,248,16,58000,496,0,4
V2.60,1,1,1,320000,1,14000000,250,16,56000,500,0,0
V2.61,1,1,1,320000,1,14000000,250,16,56000,500,0,0
V2.70,0,-1,1,0,0,0,250,16,0,500,0,0
V2.74,0,-1,1,200000,0,0,250,16,0,500,0,0
V2.83,1,1,1,0,1,0,250,16,0,500,0,0
V2.84,1,1,1,200000,1,15000000,250,16,60000,500,0,0
V2.85,1,1,1,200000,1,15000000,250,16,60000,500,0,0
V2.91,0,-1,4,0,1,14384000,248,16,58000,496,0,4
V2.94,0,-1,4,100000,1,14384000,248,16,58000,496,0,4
V2.95,0,-1,4,100000,0,14384000,248,16,58000,496,0,4
